"Venue","Year","DOI","Ext.","Title","Authors","Affiliations","Countries","Award","Certificate","Verified","",""
"25th International Conference on Transdisciplinary Engineering (ISTE)","2018","https://doi.org/10.3233/978-1-61499-898-3-665","","Glencoe – A Tool for Specification, Visualization and Formal Analysis of Product Lines","Anna Schmitt, Christian Bettinger, Georg Rock","Trier University of Applied Sciences","Germany","Best Paper Award","","True","",""
"26th ACM International Systems and Software Product Line Conference (SPLC)","2022","https://doi.org/10.1145/3546932.3546991","","Adaptive behavioral model learning for software product lines","Shaghayegh Tavassoli, Carlos Diego N. Damasceno, Ramtin Khosravi, Mohammad Reza Mousavi","University of Tehran, Radboud University Nijmegen, King's College London","IrelandNetherlandsUnited Kingdom","Best Research Paper Award","","True","",""
"29th International Conference on Software Engineering and Knowledge Engineering (SEKE)","2017","https://doi.org/10.18293/SEKE2017-093","","Knowledge-based learning content generation in the STUDYBATTLES environment","Amal Shehadeh, Alexander Felfernig, Michael Jeran, Martin Stettinger, Stefan Reiterer","Graz University of Technology, SelectionArts GmbH","Austria","Best Paper Award","","True","",""
"2nd International Conference on Aspect-Oriented Software Development (AOSD)","2003","https://doi.org/10.1145/643603.643605","","Modularisation and composition of aspectual requirements","Awais Rashid, Ana Moreira, Joāo Araújo","Lancaster University Lancaster, FCT","United KingdomPortugal","Most Influential Paper Award (AOSD 2013)","","True","",""
"3rd European Conference on Model Driven Architecture - Foundations and Applications (ECMDA-FA)","2007","https://link.springer.com/chapter/10.1007/978-3-540-72901-3_7","","Execution of aspect oriented UML models","Lidia Fuentes, Pablo Sánchez","University of Málaga","Spain","Best Paper Award","","True","",""
"3rd International Conference on Aspect-Oriented Software Development (AOSD)","2004","https://doi.org/10.1145/976270.976276","","Advice weaving in AspectJ","Erik Hilsdale, Jim Hugunin","PARC, Want of a Nail Software","USA","Most Influential Paper Award (Modularity 2014)","","True","",""
"4th International Conference on Aspect-Oriented Software Development (AOSD)","2005","https://doi.org/10.1145/1052898.1052912","","Mylar: a degree-of-interest model for IDEs","Mik Kersten, Gail C. Murphy","University of British Columbia","Canada","Most Influential Paper Award (Modularity 2015)","","True","",""
"5th International Conference on Aspect-Oriented Software Development (AOSD)","2006","https://doi.org/10.1145/1119655.1119666","","A join point for loops in AspectJ","Bruno Harbulot, John R. Gurd","The University of Manchester","United Kingdom","Most Influential Paper Award (Modularity 2016)","","True","",""
"6th International Conference on Aspect-Oriented Software Development (AOSD)","2007","https://doi.org/10.1145/1218563.1218587","","Using natural language program analysis to locate and understand action-oriented concerns","David Shepherd, Zachary P. Fry, Emily Hill, Lori Pollock, K. Vijay-Shanker","University of Delaware","USA","Most Influential Paper Award (Programming 2017)","","True","",""
"7th International Conference on Aspect-Oriented Software Development (AOSD)","2008","https://doi.org/10.1145/1353482.1353503","","Expressive scoping of dynamically-deployed aspects","Éric Tanter","University of Chile","Chile","Most Influential Paper Award (Programming 2018)","","True","",""
"8th ACM International Conference on Aspect-Oriented Software Development (AOSD)","2009","https://doi.org/10.1145/1509239.1509274","","Can we refactor conditional compilation into aspects?","Bram Adams, Wolfgang De Meuter, Herman Tromp, Ahmed E. Hassan","Queen's University, Vrije Universiteit Brussel, Ghent University","BelgiumCanada","Most Influential Paper Award (Programming 2019)","","True","",""
"8th International Conference on Intelligent Networking and Collaborative Systems (INCoS)","2016","https://doi.org/10.1109/INCoS.2016.21","","Optimal allocation of public parking slots using evolutionary algorithms","Javier Arellano Verdejo, Enrique Alba","University of Málaga","Spain","Best Paper Award","","True","",""
"9th International Conference on Aspect-Oriented Software Development (AOSD)","2010","https://doi.org/10.1145/1739230.1739236","","Execution levels for aspect-oriented programming","Éric Tanter","University of Chile","Chile","Best Paper Award, Most Influential Paper Award (Programming 2021)","","True","",""
"9th International Conference on Parallel Problem Solving from Nature (PPSN)","2006","https://link.springer.com/chapter/10.1007/11844297_25","","Theory and practice of cellular UMDA for discrete optimization","Enrique Alba, Julio Madera, Bernabé Dorronsoro Díaz, Carlos Alberto Ochoa Ortíz Zezzatti, Marta Soto","University of Málaga, Camagüey University, ""The Institute of Cybernetics, Mathematics and Physics""","SpainCuba","Best Poster Award","EnriqueAlba_PPSN2006.jpeg","True","",""
"Evolutionary Computation in Combinatorial Optimization","2007","https://link.springer.com/chapter/10.1007/978-3-540-71615-0_10","","Evolutionary algorithms for real-world instances of the automatic frequency planning problem in GSM networks","Francisco Luna, Enrique Alba, Antonio J. Nebro, Salvador Pedraza","University of Málaga, Optimi Corp.","Spain","7th European Conference on Evolutionary Computation in Combinatorial Optimization (EvoCOP)","","True","",""
"International Conference in Energy and Sustainability in Small Developing Economies (ES2DE)","2017","https://doi.org/10.1109/ES2DE.2017.8015334","","HADAS and web services: Eco-efficiency assistant and repository use case evaluation","Daniel Jesús Munoz, Mónica Pinto, Lidia Fuentes","University of Málaga","Spain","Best Student Paper Award","BestPaperES2DE.pdf","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Evolutionary Combinatorial Optimization and Metaheuristics track","2018","https://doi.org/10.1145/3205455.3205561","","Enhancing partition crossover with articulation points analysis","Francisco Chicano, Gabriela Ochoa, Darrell Whitley, Renato Tinós","University of Málaga, University of Stirling, Colorado State University, University of São Paulo","SpainUnited KingdomUSABrazil","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Evolutionary Multiobjective Optimization track","2016","https://doi.org/10.1145/2908812.2908856","","A multi-objective evolutionary algorithm based on parallel coordinates","Raquel Hernández Gómez, Carlos A. Coello Coello, Enrique Alba Torres","CINVESTAV-IPN, University of Málaga","MexicoSpain","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Genetic Algorithms track","2018","https://doi.org/10.1145/3205455.3205482","","Tunneling between plateaus: improving on a state-of-the-art MAXSAT solver using partition crossover","Wenxiang Chen, Darrell Whitley, Renato Tinós, Francisco Chicano","Colorado State University, University of São Paulo, University of Málaga","USABrazilSpain","Best Paper Award","","True","",""
"The Genetic and Evolutionary Computation Conference (GECCO) - Search-Based Software Engineering track","2008","https://doi.org/10.1145/1389095.1389431","","Searching for liveness property violations in concurrent systems with ACO","Enrique Alba, Francisco Chicano","University of Málaga","Spain","Best Paper Award","","True","",""
